Word Trial.ID list wordNeighbour N zipf.wordNeighbour len.wordNeighbour bigram.zipf.wordNeighbour old20.wordNeighbour old1.wordNeighbour bigram.zipf.novelWord old20.novelWord old1.novelWord len.novelWord pos_deviation levDistToWordNeigh baseWord Blocco Subject Age Gender Handedness Session List Data OraStart TrialCount rt Resp Acc learning lexicality Index
augubio 21004 B augurio 1 2.942971678 7 6.68 1.85 1 6.41 2.7 1 7 middle 1 yes 1 23 32 Female Right Morning B 2019-01-08 13:42:19 11 857 1 0 un novelword 1
cafugno 22036 B NA NA NA NA NA NA NA 6.56 2.75 2 7 NA NA no 1 11 25 Male Right Morning B 2018-11-02 13:41:00 11 773 2 1 un novelword 1
cortario 22037 B NA NA NA NA NA NA NA 7.03 1.85 1 8 NA NA no 1 7 21 Male Right Morning B 2018-10-08 13:50:59 11 767 1 0 un novelword 1
forzica 11018 A formica 2 3.390952497 7 6.82 1.85 1 6.76 1.9 1 7 middle 1 yes 1 8 24 Female Right Morning A 2018-10-16 13:48:31 11 1701 2 1 un novelword 1
menpola 21021 B mensola 1 3.085792887 7 6.85 1.95 1 6.74 1.9 1 7 middle 1 yes 1 1 28 Male Right Morning B 2018-09-04 10:04:35 11 904 1 0 un novelword 1
nicopina 11022 A nicotina 1 3.149964622 8 6.96 2.45 1 6.9 2.6 1 8 middle 1 yes 1 26 27 Female Right Morning A 2019-01-21 10:01:44 11 1561 2 1 un novelword 1
omnesia 11002 A amnesia 1 3.488683741 7 6.9 1.85 1 6.87 2.15 1 7 initial 1 yes 1 22 25 Male Right Morning A 2019-01-08 10:00:13 11 1203 2 1 un novelword 2
osbrica 11023 A ostrica 0 2.942971678 7 6.98 1.95 1 6.86 2.2 1 7 middle 1 yes 1 14 22 Female Right Morning A 2018-11-12 13:44:47 11 1802 2 1 un novelword 2
picastro 21024 B pilastro 1 3.104737082 8 6.87 2.35 1 6.9 2.05 1 8 middle 1 yes 1 17 24 Male Right Morning B 2018-11-15 14:10:31 11 1101 2 1 un novelword 1
spriage 22047 B NA NA NA NA NA NA NA 6.84 2 2 7 NA NA no 1 27 20 Female Right Morning B 2019-01-21 13:43:02 11 1920 2 1 un novelword 1
