Word Trial.ID list wordNeighbour N zipf.wordNeighbour len.wordNeighbour bigram.zipf.wordNeighbour old20.wordNeighbour old1.wordNeighbour bigram.zipf.novelWord old20.novelWord old1.novelWord len.novelWord pos_deviation levDistToWordNeigh baseWord Blocco Subject Age Gender Handedness Session List Data OraStart TrialCount Resp Acc rt learning
anguato 21001 B agguato 1 3.494119287 7 6.76 1.9 1 6.91 1.75 1 7 initial 1 yes 1 19 28 Female Right Morning B 2018-12-03 10:03:01 10 anguato 1 0.8558 in
anguato 21001 B agguato 1 3.494119287 7 6.76 1.9 1 6.91 1.75 1 7 initial 1 yes 2 24 26 Female Right Morning A 2019-01-10 10:07:25 23 anguato 1 1.505 in
anguato 21001 B agguato 1 3.494119287 7 6.76 1.9 1 6.91 1.75 1 7 initial 1 yes 5 19 28 Female Right Morning B 2018-12-03 10:03:01 54 anguato 1 1.0305 in
anguato 21001 B agguato 1 3.494119287 7 6.76 1.9 1 6.91 1.75 1 7 initial 1 yes 2 21 20 Female Right Morning B 2018-12-06 13:42:59 55 anguato 1 1.1523 in
anguato 21001 B agguato 1 3.494119287 7 6.76 1.9 1 6.91 1.75 1 7 initial 1 yes 4 19 28 Female Right Morning B 2018-12-03 10:03:01 22 anguato 1 1.036 in
anguato 21001 B agguato 1 3.494119287 7 6.76 1.9 1 6.91 1.75 1 7 initial 1 yes 5 21 20 Female Right Morning B 2018-12-06 13:42:59 34 anguato 1 1.0281 in
anguato 21001 B agguato 1 3.494119287 7 6.76 1.9 1 6.91 1.75 1 7 initial 1 yes 4 9 23 Male Right Morning B 2018-10-30 13:58:50 47 anguato 1 0.8486 in
anguato 21001 B agguato 1 3.494119287 7 6.76 1.9 1 6.91 1.75 1 7 initial 1 yes 3 15 29 Female Right Morning B 2018-11-13 10:09:53 21 anguato 1 1.2518 in
anguato 21001 B agguato 1 3.494119287 7 6.76 1.9 1 6.91 1.75 1 7 initial 1 yes 1 9 23 Male Right Morning B 2018-10-30 13:58:50 74 anguato 1 0.7446 in
anguato 21001 B agguato 1 3.494119287 7 6.76 1.9 1 6.91 1.75 1 7 initial 1 yes 5 19 28 Female Right Morning B 2018-12-03 10:03:01 29 anguato 1 0.9322 in
anguato 21001 B agguato 1 3.494119287 7 6.76 1.9 1 6.91 1.75 1 7 initial 1 yes 2 15 29 Female Right Morning B 2018-11-13 10:09:53 44 anguato 1 1.1278 in
anguato 21001 B agguato 1 3.494119287 7 6.76 1.9 1 6.91 1.75 1 7 initial 1 yes 2 13 25 Male Right Morning B 2018-11-07 14:04:14 25 anguato 1 1.7398 in
anguato 21001 B agguato 1 3.494119287 7 6.76 1.9 1 6.91 1.75 1 7 initial 1 yes 6 15 29 Female Right Morning B 2018-11-13 10:09:53 51 anguato 1 1.0695 in
anguato 21001 B agguato 1 3.494119287 7 6.76 1.9 1 6.91 1.75 1 7 initial 1 yes 2 25 25 Female Right Morning B 2019-01-10 13:55:25 54 anguato 1 1.1092 in
anguato 21001 B agguato 1 3.494119287 7 6.76 1.9 1 6.91 1.75 1 7 initial 1 yes 3 21 20 Female Right Morning B 2018-12-06 13:42:59 7 anguato 1 0.8753 in
anguato 21001 B agguato 1 3.494119287 7 6.76 1.9 1 6.91 1.75 1 7 initial 1 yes 6 24 26 Female Right Morning A 2019-01-10 10:07:25 5 anguato 1 1.1358 in
anguato 21001 B agguato 1 3.494119287 7 6.76 1.9 1 6.91 1.75 1 7 initial 1 yes 1 21 20 Female Right Morning B 2018-12-06 13:42:59 37 anguato 1 1.1064 in
anguato 21001 B agguato 1 3.494119287 7 6.76 1.9 1 6.91 1.75 1 7 initial 1 yes 5 13 25 Male Right Morning B 2018-11-07 14:04:14 40 anguato 1 1.0782 in
